field_1,Lake_name,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat,centroid_x,centroid_y,KG
14835,,China,Asia,SWBD,1,0,24.64,30.9,1.76,28.33,0.0,3,1.1,0.0,-1.0,4713,0.45,4842.8,89.552083,36.260417,89.5430119,36.26559503,29
14845,,China,Asia,SWBD,1,0,80.39,119.89,3.77,625.86,0.0,3,7.8,0.0,-1.0,4856,1.85,2209.1,88.789583,36.01875,88.77228377,36.01151584,7
14847,,China,Asia,SWBD,1,0,46.8,43.4,1.79,491.5,0.0,3,10.5,0.001,5688662.0,4807,2.69,1971.1,87.377083,35.977083,87.3573968,35.98002631,7
14864,,China,Asia,SWBD,1,0,87.44,58.66,1.77,913.77,0.0,3,10.5,0.0,-1.0,4858,2.35,1264.5,89.427083,35.80625,89.43168071,35.80470581,29
14871,,China,Asia,SWBD,1,0,49.9,52.46,2.09,655.33,0.0,3,13.1,0.0,-1.0,4882,3.22,2277.2,86.697917,35.735417,86.6904562,35.7374037,7
14891,,Japan,Asia,SWBD,1,0,79.88,54.12,1.71,729.99,0.0,3,9.1,49.123,172.0,0,2.13,1313.9,133.051042,35.464583,132.9584166,35.43890939,14
14892,,China,Asia,SWBD,1,0,22.21,25.66,1.54,60.05,0.0,3,2.7,0.0,-1.0,4815,0.97,1232.9,88.419792,35.444809,88.44175387,35.44655056,7
14894,,China,Asia,SWBD,1,0,59.34,37.95,1.39,367.88,0.0,3,6.2,0.0,-1.0,4778,1.62,9497.6,84.635417,35.427083,84.65849167,35.42741753,5
14895,,China,Asia,SWBD,1,0,64.77,36.17,1.27,206.69,0.0,3,3.2,0.0,-1.0,4815,0.89,5069.5,88.38125,35.410417,88.37396364,35.40903619,7
14898,,China,Asia,SWBD,1,0,53.86,37.78,1.45,199.46,0.0,3,3.7,1.029,2243.5,4783,1.06,646.1,91.885417,35.327083,91.8713022,35.32825467,29
14900,,China,Asia,SWBD,1,0,42.96,83.8,3.61,122.41,0.0,3,2.8,0.227,6241.6,4744,0.88,3319.1,87.259163,35.310085,87.30365267,35.30186306,7
14901,,China,Asia,SWBD,1,0,86.02,66.3,2.02,654.1,0.0,3,7.6,0.0,-1.0,4889,1.79,5557.5,83.127083,35.29375,83.1162454,35.29456068,5
14904,,China,Asia,SWBD,1,0,47.44,45.65,1.87,665.83,0.0,3,14.0,0.412,18704.7,4127,3.45,639.6,99.164583,35.257573,99.18433973,35.30681179,29
14913,,China,Asia,SWBD,1,0,81.87,63.78,1.99,260.87,0.0,3,3.2,0.0,-1.0,4793,0.85,4121.4,86.75625,35.122917,86.73359305,35.12194797,7
14921,,China,Asia,SWBD,1,0,10.18,16.67,1.47,32.94,0.0,3,3.2,0.321,1187.8,4290,1.34,307.0,97.449307,34.962302,97.47341261,34.96026121,29
14933,,China,Asia,SWBD,1,0,22.52,29.91,1.78,51.36,0.0,3,2.3,0.0,-1.0,5202,0.84,2754.4,79.339583,34.889583,79.35647546,34.88813285,7
14944,,China,Asia,SWBD,1,0,42.01,54.08,2.35,553.69,0.0,3,13.2,0.0,-1.0,4839,3.36,1308.2,89.022917,34.710417,89.03500449,34.71396091,29
14948,,China,Asia,SWBD,1,0,50.75,29.87,1.18,237.22,0.0,3,4.7,0.164,16741.2,5187,1.31,2218.8,79.69375,34.677083,79.6953238,34.6848526,5
14950,,Morocco,Africa,SWBD,2,2943,16.31,34.66,2.42,730.0,730.0,2,44.8,79.33,106.5,206,2.51,50243.0,-2.940765,34.661197,-2.96556919,34.64683467,4
14957,,Morocco,Africa,SWBD,2,2945,74.28,110.9,3.63,3800.0,3800.0,2,51.2,38.178,1152.0,144,5.55,6117.9,-5.193197,34.59401,-5.15744797,34.59355194,8
14958,,China,Asia,SWBD,1,0,14.58,28.32,2.09,33.08,0.0,3,2.3,0.0,-1.0,4919,0.91,3495.1,87.254599,34.577355,87.21958684,34.57534744,7
14960,,China,Asia,SWBD,1,0,38.37,25.57,1.16,297.78,0.0,3,7.8,0.0,-1.0,4920,2.16,3793.7,87.302083,34.572917,87.30493366,34.57588796,7
14964,,China,Asia,SWBD,1,0,25.21,18.48,1.04,156.76,0.0,3,6.2,0.629,2884.5,4818,1.95,1196.5,89.094527,34.531048,89.12267748,34.52827279,29
14988,,China,Asia,SWBD,1,0,67.75,83.35,2.86,493.01,0.0,3,7.3,3.586,1591.2,4675,1.81,2072.4,91.630208,34.299262,91.60488143,34.34059252,29
14998,,China,Asia,SWBD,1,0,32.97,51.2,2.52,280.67,0.0,3,8.5,0.0,-1.0,5021,2.42,1763.4,83.10274,34.189365,83.14777917,34.17028588,7
15001,,Iraq,Asia,SWBD,2,4471,79.96,75.34,2.38,630.0,630.0,2,7.9,276.329,26.4,90,0.97,29744.9,44.969792,34.115102,45.01081116,34.18929799,6
15010,,China,Asia,SWBD,1,0,38.83,33.77,1.53,134.82,0.0,3,3.5,1.11,1405.8,4909,1.07,1853.4,86.497917,33.964583,86.49603865,33.96361254,7
15014,,China,Asia,SWBD,1,0,67.52,57.52,1.97,157.16,0.0,3,2.3,1.783,1020.2,4836,0.67,2671.7,87.039583,33.877083,87.02087444,33.86499607,7
15025,,China,Asia,SWBD,1,0,24.37,27.52,1.57,40.95,0.0,3,1.7,0.0,-1.0,4675,0.63,2435.2,85.802083,33.664583,85.78821282,33.65825745,7
15026,,China,Asia,SWBD,1,0,63.34,48.93,1.73,343.27,0.0,3,5.4,6.852,579.8,4947,1.42,1555.5,89.714583,33.639583,89.71023768,33.63290663,29
15037,,China,Asia,SWBD,1,0,35.22,39.12,1.86,76.54,0.0,3,2.2,0.0,-1.0,4513,0.73,3077.4,84.197917,33.364583,84.18783489,33.3599726,5
15049,,China,Asia,SWBD,1,0,10.87,23.24,1.99,10.87,0.0,3,1.0,0.134,939.1,10,0.31,15.1,118.52954,33.138225,118.5096577,33.10711222,11
15058,,China,Asia,SWBD,1,0,37.06,44.72,2.07,127.73,0.0,3,3.4,0.465,3179.3,4321,1.08,2401.7,80.589583,33.03125,80.5911544,33.03095825,5
15062,,China,Asia,SWBD,1,0,57.1,36.49,1.36,140.98,0.0,3,2.5,6.173,264.3,4822,0.73,1316.5,88.697917,32.98125,88.69220725,32.98301426,7
15063,,China,Asia,SWBD,1,0,64.98,41.7,1.46,109.41,0.0,3,1.7,0.0,-1.0,4557,0.51,6912.4,86.710417,32.972917,86.72090498,32.97169956,7
15064,,China,Asia,SWBD,2,5299,77.81,61.14,1.96,1656.0,1656.0,2,21.3,27.978,685.1,52,0.23,2890.6,114.279772,32.961687,114.2554114,33.02753445,11
15070,,China,Asia,SWBD,1,0,48.63,44.01,1.78,144.36,0.0,3,3.0,0.506,3302.0,4727,0.89,1681.7,88.196046,32.896015,88.16907254,32.90278029,7
15075,,China,Asia,SWBD,1,0,12.52,14.2,1.13,45.77,0.0,3,3.7,0.872,607.5,4756,1.42,317.3,87.869397,32.818677,87.88629203,32.82855469,7
15076,,China,Asia,SWBD,1,0,39.94,38.48,1.72,141.82,0.0,3,3.6,1.355,1211.4,4758,1.09,2233.3,87.839583,32.80625,87.81517752,32.79241089,7
15102,,Morocco,Africa,SWBD,2,2953,86.43,165.77,5.03,2760.0,2760.0,2,31.9,71.782,445.0,274,1.8,28773.5,-7.635382,32.4729,-7.587945002,32.45542209,6
15125,,China,Asia,SWBD,1,0,41.12,27.96,1.23,151.76,0.0,3,3.7,1.838,955.7,4607,1.12,1318.8,88.698731,32.274301,88.69147239,32.31093424,7
15130,,China,Asia,SWBD,1,0,46.89,27.86,1.15,273.21,0.0,3,5.8,0.947,3339.1,4416,1.61,1982.3,85.11875,32.189583,85.11115146,32.19839016,5
15135,Cam,China,Asia,SWBD,1,0,93.44,47.28,1.38,541.04,0.0,3,5.8,1.345,4655.8,4340,1.39,2725.0,83.55625,32.110417,83.54428359,32.10916287,5
15142,Lagkor,China,Asia,SWBD,1,0,93.66,49.45,1.44,2145.94,0.0,3,22.9,1.663,14935.2,4467,4.57,3667.0,84.14375,32.01875,84.12310318,32.02972222,5
15144,,China,Asia,SWBD,1,0,29.38,58.24,3.03,38.07,0.0,3,1.3,0.445,990.2,4537,0.48,181.8,88.942228,32.009819,88.90780609,32.00144572,7
15146,,China,Asia,SWBD,1,0,61.22,38.71,1.4,298.15,0.0,3,4.9,1.838,1877.5,4515,1.31,3481.9,88.25625,31.99375,88.23130156,31.99544732,7
15160,,China,Asia,SWBD,1,0,60.2,39.52,1.44,428.44,0.0,3,7.1,4.315,1149.2,4718,1.82,2329.5,83.19375,31.83125,83.16060713,31.86204291,29
15163,Ch'a-erh-ku-t'e,China,Asia,SWBD,1,0,88.15,79.6,2.39,2707.94,0.0,3,30.7,0.993,31562.8,4553,5.98,374.6,88.137294,31.792564,88.2057548,31.82394735,7
15169,,China,Asia,SWBD,1,0,58.8,50.77,1.87,399.27,0.0,3,6.8,1.322,3495.6,4683,1.76,586.4,90.74375,31.710417,90.74366501,31.71712809,29
15175,,China,Asia,SWBD,1,0,53.09,44.37,1.72,455.77,0.0,3,8.6,4.242,1243.5,4800,2.2,1106.2,82.347917,31.647917,82.34381636,31.62278307,29
15176,,Iraq,Asia,SWBD,1,0,89.68,65.96,1.96,89.68,0.0,3,1.0,4.661,222.7,4,0.25,3547.8,47.570673,31.629718,47.62764444,31.59557007,4
15178,,China,Asia,SWBD,1,0,54.89,32.92,1.25,481.92,0.0,3,8.8,2.865,1946.9,4605,2.23,1448.0,87.227866,31.60203,87.28182337,31.58383274,7
15179,,China,Asia,SWBD,1,0,43.36,39.74,1.7,211.62,0.0,3,4.9,2.368,1034.3,4534,1.41,1066.5,89.072814,31.581133,89.02119293,31.57270223,7
15184,Chang Dang,China,Asia,SWBD,1,0,83.49,49.63,1.53,186.95,0.0,3,2.2,24.461,88.5,0,0.62,2239.8,119.510258,31.548691,119.5505363,31.60938626,14
15188,,Algeria,Africa,SWBD,2,2961,16.08,26.26,1.85,350.0,350.0,2,21.8,30.365,133.4,690,1.26,26533.0,-2.771184,31.511864,-2.760484739,31.52802748,4
15191,,China,Asia,SWBD,1,0,70.3,42.2,1.42,336.96,0.0,3,4.8,1.769,2204.6,4523,1.25,1063.4,91.502083,31.452083,91.50406378,31.47068888,29
15197,,China,Asia,SWBD,1,0,72.23,46.25,1.54,1865.92,0.0,3,25.8,23.873,904.6,4648,5.37,13106.1,87.96455,31.389559,87.90772303,31.37734321,7
15208,,China,Asia,SWBD,1,0,75.95,40.15,1.3,264.1,0.0,3,3.5,2.329,1312.5,4524,0.93,1165.3,91.464583,31.297917,91.46438141,31.30235541,29
15217,,China,Asia,SWBD,1,0,42.26,34.68,1.5,79.68,0.0,3,1.9,2.618,352.3,0,0.62,190.1,120.792063,31.23839,120.8270705,31.21045586,14
15232,Mo-k'o-yu,China,Asia,SWBD,1,0,81.23,85.76,2.68,813.91,0.0,3,10.0,6.238,1510.1,4675,2.3,3253.6,88.815574,31.135458,89.03483813,31.06721083,7
